iter	Passed	Remaining
0	2	228
1	4	213
2	6	202
3	7	186
4	9	184
5	11	183
6	13	181
7	15	178
8	17	178
9	19	176
10	21	173
11	23	172
12	25	169
13	27	167
14	29	164
15	30	162
16	32	160
17	34	158
18	36	156
19	38	154
20	40	152
21	42	151
22	44	148
23	46	147
24	48	146
25	50	144
26	52	142
27	54	140
28	56	138
29	58	136
30	60	135
31	63	135
32	66	134
33	69	134
34	72	134
35	74	133
36	76	131
37	78	128
38	80	126
39	82	123
40	84	121
41	85	117
42	87	115
43	89	113
44	90	111
45	92	108
46	94	106
47	96	104
48	98	102
49	100	100
50	102	98
51	104	96
52	106	94
53	107	91
54	109	89
55	110	87
56	112	85
57	114	83
58	116	81
59	118	79
60	120	77
61	122	75
62	124	73
63	126	71
64	128	69
65	130	67
66	132	65
67	134	63
68	137	61
69	139	59
70	141	57
71	143	55
72	145	53
73	146	51
74	148	49
75	150	47
76	152	45
77	154	43
78	156	41
79	158	39
80	160	37
81	162	35
82	164	33
83	166	31
84	168	29
85	170	27
86	172	25
87	174	23
88	175	21
89	177	19
90	179	17
91	181	15
92	183	13
93	185	11
94	187	9
95	188	7
96	190	5
97	192	3
98	194	1
99	196	0
