iter	Passed	Remaining
0	149	149714
1	156	77942
2	159	52992
3	161	40306
4	164	32693
5	169	28028
6	171	24387
7	174	21663
8	177	19565
9	181	17989
10	185	16694
11	188	15503
12	191	14574
13	194	13710
14	199	13096
15	202	12429
16	204	11829
17	206	11288
18	212	10962
19	214	10530
20	217	10129
21	219	9778
22	222	9455
23	228	9283
24	230	9005
25	233	8742
26	235	8500
27	242	8430
28	245	8232
29	248	8031
30	250	7839
31	253	7661
32	259	7597
33	262	7446
34	264	7304
35	267	7165
36	273	7105
37	276	6999
38	279	6885
39	282	6775
40	288	6739
41	290	6635
42	293	6535
43	296	6431
44	301	6407
45	304	6316
46	308	6250
47	311	6173
48	317	6159
49	320	6086
50	323	6013
51	325	5939
52	331	5916
53	333	5844
54	336	5784
55	339	5716
56	341	5657
57	348	5652
58	351	5604
59	354	5555
60	357	5506
61	363	5502
62	366	5452
63	369	5410
64	372	5362
65	378	5351
66	381	5311
67	384	5269
68	387	5232
69	393	5233
70	397	5197
71	399	5149
72	401	5104
73	408	5109
74	411	5076
75	414	5034
76	416	4994
77	419	4953
78	424	4948
79	426	4908
80	429	4868
81	431	4829
82	432	4778
83	434	4740
84	437	4706
85	439	4672
86	442	4641
87	444	4605
88	446	4571
89	451	4564
90	453	4533
91	456	4501
92	458	4469
93	460	4438
94	465	4437
95	468	4409
96	471	4384
97	473	4354
98	475	4323
99	477	4296
100	482	4296
101	484	4268
102	486	4241
103	489	4214
104	491	4186
105	497	4192
106	499	4170
107	502	4151
108	505	4130
109	508	4110
110	515	4126
111	517	4105
112	520	4083
113	523	4065
114	529	4073
115	533	4062
116	535	4039
117	538	4026
118	544	4031
119	547	4015
120	550	4000
121	552	3979
122	558	3984
123	561	3966
124	563	3946
125	566	3927
126	567	3903
127	570	3889
128	574	3878
129	576	3859
130	578	3839
131	581	3821
132	584	3812
133	590	3815
134	592	3798
135	595	3782
136	598	3771
137	604	3774
138	607	3761
139	609	3746
140	612	3730
141	613	3709
142	618	3707
143	621	3691
144	624	3679
145	627	3668
146	634	3680
147	637	3669
148	640	3659
149	644	3649
150	649	3651
151	652	3641
152	655	3631
153	659	3621
154	665	3628
155	669	3619
156	672	3610
157	675	3599
158	679	3595
159	683	3588
160	685	3570
161	692	3579
162	694	3567
163	697	3553
164	699	3539
165	702	3531
166	707	3527
167	709	3514
168	712	3505
